File accession	File type	Output type	File assembly	Experiment accession	Assay	Biosample term name	Experiment target	Biological replicate(s)	File download URL	File Status	s3_uri	File analysis status
ENCFF254FCX	bigWig	fold change over control	GRCh38	ENCSR440VKE	TF ChIP-seq	K562	ADNP-human	1	https://www.encodeproject.org/files/ENCFF254FCX/@@download/ENCFF254FCX.bigWig	released	s3://encode-public/2020/12/04/ba7cfb89-7802-41db-aada-bef45e7e97a7/ENCFF254FCX.bigWig	released
ENCFF580YKQ	bigWig	fold change over control	GRCh38	ENCSR440VKE	TF ChIP-seq	K562	ADNP-human	2	https://www.encodeproject.org/files/ENCFF580YKQ/@@download/ENCFF580YKQ.bigWig	released	s3://encode-public/2020/12/04/71c7db41-cc3e-41a8-b40f-f07688b22d15/ENCFF580YKQ.bigWig	released
ENCFF292SLU	bigWig	fold change over control	GRCh38	ENCSR981BHT	TF ChIP-seq	HepG2	ADNP-human	1	https://www.encodeproject.org/files/ENCFF292SLU/@@download/ENCFF292SLU.bigWig	released	s3://encode-public/2020/07/01/752e4169-afd5-450b-ae3c-cd88df446e9d/ENCFF292SLU.bigWig	released
ENCFF631PWL	bigWig	fold change over control	GRCh38	ENCSR981BHT	TF ChIP-seq	HepG2	ADNP-human	2	https://www.encodeproject.org/files/ENCFF631PWL/@@download/ENCFF631PWL.bigWig	released	s3://encode-public/2020/07/01/2fb54cd2-b327-40ea-87ea-9d149fddae84/ENCFF631PWL.bigWig	released
ENCFF885SHO	bigWig	fold change over control	GRCh38	ENCSR463DPV	TF ChIP-seq	HepG2	AFF4-human	1	https://www.encodeproject.org/files/ENCFF885SHO/@@download/ENCFF885SHO.bigWig	released	s3://encode-public/2020/07/02/e58b3427-75b1-4385-a848-e722d8819b12/ENCFF885SHO.bigWig	released
ENCFF234WDK	bigWig	fold change over control	GRCh38	ENCSR463DPV	TF ChIP-seq	HepG2	AFF4-human	2	https://www.encodeproject.org/files/ENCFF234WDK/@@download/ENCFF234WDK.bigWig	released	s3://encode-public/2020/07/02/5671cfdf-45e7-4737-a8bf-1aac9711b746/ENCFF234WDK.bigWig	released
ENCFF057BCB	bigWig	fold change over control	GRCh38	ENCSR641BSL	TF ChIP-seq	K562	AGO1-human	2	https://www.encodeproject.org/files/ENCFF057BCB/@@download/ENCFF057BCB.bigWig	released	s3://encode-public/2017/02/11/e4352170-91f7-4773-b47c-19d7e61e8c41/ENCFF057BCB.bigWig	released
ENCFF593VAW	bigWig	fold change over control	GRCh38	ENCSR641BSL	TF ChIP-seq	K562	AGO1-human	1	https://www.encodeproject.org/files/ENCFF593VAW/@@download/ENCFF593VAW.bigWig	released	s3://encode-public/2017/02/11/8fdc7839-5275-48f1-ad6a-96e9501c279d/ENCFF593VAW.bigWig	released
ENCFF020OLK	bigWig	fold change over control	GRCh38	ENCSR641BSL	TF ChIP-seq	K562	AGO1-human	1	https://www.encodeproject.org/files/ENCFF020OLK/@@download/ENCFF020OLK.bigWig	released	s3://encode-public/2020/12/03/865cf73a-9619-4ba5-8c71-403521e198f1/ENCFF020OLK.bigWig	released
ENCFF521JBC	bigWig	fold change over control	GRCh38	ENCSR641BSL	TF ChIP-seq	K562	AGO1-human	2	https://www.encodeproject.org/files/ENCFF521JBC/@@download/ENCFF521JBC.bigWig	released	s3://encode-public/2020/12/03/f422d011-5e44-434e-93bd-10d1a1f717ce/ENCFF521JBC.bigWig	released
ENCFF215SIW	bigWig	fold change over control	GRCh38	ENCSR151NQL	TF ChIP-seq	HepG2	AGO2-human	1	https://www.encodeproject.org/files/ENCFF215SIW/@@download/ENCFF215SIW.bigWig	released	s3://encode-public/2017/02/11/0af356a2-4db8-427a-9e28-163ba70db8d8/ENCFF215SIW.bigWig	released
ENCFF768GGW	bigWig	fold change over control	GRCh38	ENCSR151NQL	TF ChIP-seq	HepG2	AGO2-human	2	https://www.encodeproject.org/files/ENCFF768GGW/@@download/ENCFF768GGW.bigWig	released	s3://encode-public/2017/02/11/b8d7ba84-951a-43e0-8d99-4f832ed7d27f/ENCFF768GGW.bigWig	released
ENCFF546VED	bigWig	fold change over control	GRCh38	ENCSR151NQL	TF ChIP-seq	HepG2	AGO2-human	2	https://www.encodeproject.org/files/ENCFF546VED/@@download/ENCFF546VED.bigWig	released	s3://encode-public/2020/12/04/789e724d-ed11-43d6-a9c9-aaf3813009c6/ENCFF546VED.bigWig	released
ENCFF111QQE	bigWig	fold change over control	GRCh38	ENCSR151NQL	TF ChIP-seq	HepG2	AGO2-human	1	https://www.encodeproject.org/files/ENCFF111QQE/@@download/ENCFF111QQE.bigWig	released	s3://encode-public/2020/12/04/a5e65f7c-04e4-49ed-a69f-68671b2e9adf/ENCFF111QQE.bigWig	released
ENCFF545PUU	bigWig	fold change over control	GRCh38	ENCSR168AUX	TF ChIP-seq	HepG2	AHDC1-human	1	https://www.encodeproject.org/files/ENCFF545PUU/@@download/ENCFF545PUU.bigWig	released	s3://encode-public/2020/08/22/46e4373f-b951-420c-81d7-433db725ce8c/ENCFF545PUU.bigWig	released
ENCFF573HFO	bigWig	fold change over control	GRCh38	ENCSR168AUX	TF ChIP-seq	HepG2	AHDC1-human	2	https://www.encodeproject.org/files/ENCFF573HFO/@@download/ENCFF573HFO.bigWig	released	s3://encode-public/2020/08/22/b990fa61-2a0d-4e38-8a2f-49cfaa3fac7c/ENCFF573HFO.bigWig	released
ENCFF972VYT	bigWig	fold change over control	GRCh38	ENCSR412ZDC	TF ChIP-seq	HepG2	AHR-human	1	https://www.encodeproject.org/files/ENCFF972VYT/@@download/ENCFF972VYT.bigWig	released	s3://encode-public/2020/12/04/ccdd8a3d-188f-438e-86f9-d8fe3d2f8707/ENCFF972VYT.bigWig	released
ENCFF865XZZ	bigWig	fold change over control	GRCh38	ENCSR412ZDC	TF ChIP-seq	HepG2	AHR-human	2	https://www.encodeproject.org/files/ENCFF865XZZ/@@download/ENCFF865XZZ.bigWig	released	s3://encode-public/2020/12/04/2ad969d6-71bc-4f41-98e8-3354a58e32fd/ENCFF865XZZ.bigWig	released
ENCFF687MIH	bigWig	fold change over control	GRCh38	ENCSR279NEA	TF ChIP-seq	HepG2	AKAP8-human	2	https://www.encodeproject.org/files/ENCFF687MIH/@@download/ENCFF687MIH.bigWig	released	s3://encode-public/2020/08/22/d05bb98a-3a20-4c5e-92fb-c0f67c9e7919/ENCFF687MIH.bigWig	released
ENCFF935XSY	bigWig	fold change over control	GRCh38	ENCSR279NEA	TF ChIP-seq	HepG2	AKAP8-human	1	https://www.encodeproject.org/files/ENCFF935XSY/@@download/ENCFF935XSY.bigWig	released	s3://encode-public/2020/08/22/72032fe5-12c4-4f16-81e1-ec170f992b34/ENCFF935XSY.bigWig	released
ENCFF154KMX	bigWig	fold change over control	GRCh38	ENCSR929IMB	TF ChIP-seq	HepG2	AKNA-human	2	https://www.encodeproject.org/files/ENCFF154KMX/@@download/ENCFF154KMX.bigWig	released	s3://encode-public/2020/07/01/e1973b46-7800-4041-bbd1-d0f4971e08c9/ENCFF154KMX.bigWig	released
ENCFF189FND	bigWig	fold change over control	GRCh38	ENCSR929IMB	TF ChIP-seq	HepG2	AKNA-human	1	https://www.encodeproject.org/files/ENCFF189FND/@@download/ENCFF189FND.bigWig	released	s3://encode-public/2020/07/01/a462bad1-4024-4fa3-a5df-97fc451db1b8/ENCFF189FND.bigWig	released
ENCFF586USK	bigWig	fold change over control	GRCh38	ENCSR577YCO	TF ChIP-seq	HepG2	ARHGAP35-human	1	https://www.encodeproject.org/files/ENCFF586USK/@@download/ENCFF586USK.bigWig	released	s3://encode-public/2022/02/07/513bc2f5-671f-4a01-8dfa-56ca94c43475/ENCFF586USK.bigWig	released
ENCFF998SOV	bigWig	fold change over control	GRCh38	ENCSR577YCO	TF ChIP-seq	HepG2	ARHGAP35-human	2	https://www.encodeproject.org/files/ENCFF998SOV/@@download/ENCFF998SOV.bigWig	released	s3://encode-public/2022/02/07/960fe0aa-1ecc-4717-a792-c000b751c6e9/ENCFF998SOV.bigWig	released
ENCFF347YOC	bigWig	fold change over control	GRCh38	ENCSR762LIP	TF ChIP-seq	WTC11	AR-human	2	https://www.encodeproject.org/files/ENCFF347YOC/@@download/ENCFF347YOC.bigWig	released	s3://encode-public/2021/10/27/62715bd8-1735-4d4e-99ff-ba60bb013c83/ENCFF347YOC.bigWig	released
ENCFF312ILH	bigWig	fold change over control	GRCh38	ENCSR762LIP	TF ChIP-seq	WTC11	AR-human	1	https://www.encodeproject.org/files/ENCFF312ILH/@@download/ENCFF312ILH.bigWig	released	s3://encode-public/2021/10/27/7cf02194-0e18-4243-b357-a29db9b02651/ENCFF312ILH.bigWig	released
ENCFF269QMN	bigWig	fold change over control	GRCh38	ENCSR822CCM	TF ChIP-seq	K562	ARID1B-human	1	https://www.encodeproject.org/files/ENCFF269QMN/@@download/ENCFF269QMN.bigWig	released	s3://encode-public/2020/12/07/03e1f237-271e-4d3f-9848-be166b94a81c/ENCFF269QMN.bigWig	released
ENCFF380UBH	bigWig	fold change over control	GRCh38	ENCSR822CCM	TF ChIP-seq	K562	ARID1B-human	2	https://www.encodeproject.org/files/ENCFF380UBH/@@download/ENCFF380UBH.bigWig	released	s3://encode-public/2020/12/07/db20aa0b-ca51-4671-b8d3-7c72a51bc1ca/ENCFF380UBH.bigWig	released
ENCFF018XBY	bigWig	fold change over control	GRCh38	ENCSR491EBY	TF ChIP-seq	K562	ARID2-human	2	https://www.encodeproject.org/files/ENCFF018XBY/@@download/ENCFF018XBY.bigWig	released	s3://encode-public/2020/12/04/947eae76-d727-4545-b788-d36733ea0e08/ENCFF018XBY.bigWig	released
ENCFF110QYF	bigWig	fold change over control	GRCh38	ENCSR491EBY	TF ChIP-seq	K562	ARID2-human	1	https://www.encodeproject.org/files/ENCFF110QYF/@@download/ENCFF110QYF.bigWig	released	s3://encode-public/2020/12/04/b3bc8be5-8ec9-49c8-98b7-be6e11f5c146/ENCFF110QYF.bigWig	released
ENCFF208SBG	bigWig	fold change over control	GRCh38	ENCSR141XJW	TF ChIP-seq	HepG2	ARID2-human	1	https://www.encodeproject.org/files/ENCFF208SBG/@@download/ENCFF208SBG.bigWig	released	s3://encode-public/2022/09/05/a19e3095-5606-41f3-a8ff-823af1cdbe32/ENCFF208SBG.bigWig	released
ENCFF132OEU	bigWig	fold change over control	GRCh38	ENCSR141XJW	TF ChIP-seq	HepG2	ARID2-human	2	https://www.encodeproject.org/files/ENCFF132OEU/@@download/ENCFF132OEU.bigWig	released	s3://encode-public/2022/09/05/556ae216-3d78-4fa7-b223-ff3ba1bc6e00/ENCFF132OEU.bigWig	released
ENCFF472YUG	bigWig	fold change over control	GRCh38	ENCSR000EDP	TF ChIP-seq	HepG2	ARID3A-human	1	https://www.encodeproject.org/files/ENCFF472YUG/@@download/ENCFF472YUG.bigWig	released	s3://encode-public/2020/12/12/ad24ce0d-842b-4701-8c78-dd82abfb2cab/ENCFF472YUG.bigWig	released
ENCFF594BET	bigWig	fold change over control	GRCh38	ENCSR000EDP	TF ChIP-seq	HepG2	ARID3A-human	2	https://www.encodeproject.org/files/ENCFF594BET/@@download/ENCFF594BET.bigWig	released	s3://encode-public/2020/12/12/9b63da63-7282-4231-bca7-c52494189b69/ENCFF594BET.bigWig	released
ENCFF457BKO	bigWig	fold change over control	GRCh38	ENCSR000EFY	TF ChIP-seq	K562	ARID3A-human	2	https://www.encodeproject.org/files/ENCFF457BKO/@@download/ENCFF457BKO.bigWig	released	s3://encode-public/2020/12/25/98a0ac7b-3ca4-4ab2-8442-c378c1d2e2e2/ENCFF457BKO.bigWig	released
ENCFF435NQL	bigWig	fold change over control	GRCh38	ENCSR000EFY	TF ChIP-seq	K562	ARID3A-human	1	https://www.encodeproject.org/files/ENCFF435NQL/@@download/ENCFF435NQL.bigWig	released	s3://encode-public/2020/12/25/4f2dfb9d-0625-4295-8728-b88b6f302d32/ENCFF435NQL.bigWig	released
ENCFF799HEW	bigWig	fold change over control	GRCh38	ENCSR360UHC	TF ChIP-seq	K562	ARID3B-human	2	https://www.encodeproject.org/files/ENCFF799HEW/@@download/ENCFF799HEW.bigWig	released	s3://encode-public/2020/07/03/f91994c0-b8e9-4b0a-812e-42f22c597c4e/ENCFF799HEW.bigWig	released
ENCFF890WMF	bigWig	fold change over control	GRCh38	ENCSR360UHC	TF ChIP-seq	K562	ARID3B-human	1	https://www.encodeproject.org/files/ENCFF890WMF/@@download/ENCFF890WMF.bigWig	released	s3://encode-public/2020/07/03/7931315c-6592-48ba-a600-9d712ce4b7ba/ENCFF890WMF.bigWig	released
ENCFF060PYE	bigWig	fold change over control	GRCh38	ENCSR386UBO	TF ChIP-seq	HepG2	ARID4A-human	1	https://www.encodeproject.org/files/ENCFF060PYE/@@download/ENCFF060PYE.bigWig	released	s3://encode-public/2020/06/29/63431082-ef83-4192-bffa-f29aa4eaeb49/ENCFF060PYE.bigWig	released
ENCFF685HZH	bigWig	fold change over control	GRCh38	ENCSR386UBO	TF ChIP-seq	HepG2	ARID4A-human	2	https://www.encodeproject.org/files/ENCFF685HZH/@@download/ENCFF685HZH.bigWig	released	s3://encode-public/2020/06/29/cbca4962-1bda-49e0-bec2-6b792b64b115/ENCFF685HZH.bigWig	released
ENCFF140GRQ	bigWig	fold change over control	GRCh38	ENCSR939CDD	TF ChIP-seq	K562	ARID4B-human	2	https://www.encodeproject.org/files/ENCFF140GRQ/@@download/ENCFF140GRQ.bigWig	released	s3://encode-public/2022/01/07/73241310-9133-4c0e-937c-7235de286985/ENCFF140GRQ.bigWig	released
ENCFF494TCN	bigWig	fold change over control	GRCh38	ENCSR939CDD	TF ChIP-seq	K562	ARID4B-human	1	https://www.encodeproject.org/files/ENCFF494TCN/@@download/ENCFF494TCN.bigWig	released	s3://encode-public/2022/01/07/2b4e7f08-92ed-4fba-95a9-7bfff8e37507/ENCFF494TCN.bigWig	released
ENCFF232GKN	bigWig	fold change over control	GRCh38	ENCSR988LZG	TF ChIP-seq	HepG2	ARID4B-human	1	https://www.encodeproject.org/files/ENCFF232GKN/@@download/ENCFF232GKN.bigWig	released	s3://encode-public/2020/12/02/1f1ad00e-bcf1-46ee-9f70-683487d53a14/ENCFF232GKN.bigWig	released
ENCFF839YWX	bigWig	fold change over control	GRCh38	ENCSR988LZG	TF ChIP-seq	HepG2	ARID4B-human	2	https://www.encodeproject.org/files/ENCFF839YWX/@@download/ENCFF839YWX.bigWig	released	s3://encode-public/2020/12/02/0494a511-2469-42e5-a43b-f99c9458f63d/ENCFF839YWX.bigWig	released
ENCFF470IVF	bigWig	fold change over control	GRCh38	ENCSR676KDJ	TF ChIP-seq	K562	ARID4B-human	1	https://www.encodeproject.org/files/ENCFF470IVF/@@download/ENCFF470IVF.bigWig	released	s3://encode-public/2022/02/14/2aa734cb-1de4-4418-b1d5-aded0a060f03/ENCFF470IVF.bigWig	released
ENCFF516WHR	bigWig	fold change over control	GRCh38	ENCSR676KDJ	TF ChIP-seq	K562	ARID4B-human	2	https://www.encodeproject.org/files/ENCFF516WHR/@@download/ENCFF516WHR.bigWig	released	s3://encode-public/2022/02/14/bd25d377-477a-49e7-95ec-683a784d8e17/ENCFF516WHR.bigWig	released
ENCFF566MLX	bigWig	fold change over control	GRCh38	ENCSR730DZO	TF ChIP-seq	HepG2	ARID5B-human	1	https://www.encodeproject.org/files/ENCFF566MLX/@@download/ENCFF566MLX.bigWig	released	s3://encode-public/2020/06/30/c7e2fc8e-c036-427e-ad30-5423212db718/ENCFF566MLX.bigWig	released
ENCFF374QRD	bigWig	fold change over control	GRCh38	ENCSR730DZO	TF ChIP-seq	HepG2	ARID5B-human	2	https://www.encodeproject.org/files/ENCFF374QRD/@@download/ENCFF374QRD.bigWig	released	s3://encode-public/2020/06/30/5506016b-1f3e-4b12-b775-82fb95a79817/ENCFF374QRD.bigWig	released
ENCFF534FTD	bigWig	fold change over control	GRCh38	ENCSR267TGY	TF ChIP-seq	HepG2	ARNT2-human	1	https://www.encodeproject.org/files/ENCFF534FTD/@@download/ENCFF534FTD.bigWig	released	s3://encode-public/2022/08/27/03c7c537-b235-452a-9fec-dc88ab63c718/ENCFF534FTD.bigWig	released
ENCFF818YLE	bigWig	fold change over control	GRCh38	ENCSR267TGY	TF ChIP-seq	HepG2	ARNT2-human	2	https://www.encodeproject.org/files/ENCFF818YLE/@@download/ENCFF818YLE.bigWig	released	s3://encode-public/2022/08/27/05cba45f-4159-4393-8a65-6385787c413c/ENCFF818YLE.bigWig	released
ENCFF009HVB	bigWig	fold change over control	GRCh38	ENCSR613NUC	TF ChIP-seq	K562	ARNT-human	1	https://www.encodeproject.org/files/ENCFF009HVB/@@download/ENCFF009HVB.bigWig	released	s3://encode-public/2020/12/07/4d747c6e-f298-49d8-b6e8-d28050642b38/ENCFF009HVB.bigWig	released
ENCFF893YOE	bigWig	fold change over control	GRCh38	ENCSR613NUC	TF ChIP-seq	K562	ARNT-human	2	https://www.encodeproject.org/files/ENCFF893YOE/@@download/ENCFF893YOE.bigWig	released	s3://encode-public/2020/12/07/f6197308-e2a3-44b4-af19-2d283a0bbcce/ENCFF893YOE.bigWig	released
ENCFF043XYC	bigWig	fold change over control	GRCh38	ENCSR029IBC	TF ChIP-seq	HepG2	ARNT-human	1	https://www.encodeproject.org/files/ENCFF043XYC/@@download/ENCFF043XYC.bigWig	released	s3://encode-public/2020/11/29/98f870b1-889a-4fdb-9800-951a795c820d/ENCFF043XYC.bigWig	released
ENCFF081QVO	bigWig	fold change over control	GRCh38	ENCSR029IBC	TF ChIP-seq	HepG2	ARNT-human	2	https://www.encodeproject.org/files/ENCFF081QVO/@@download/ENCFF081QVO.bigWig	released	s3://encode-public/2020/11/29/ed3503db-e097-4514-9465-a52ea38566ca/ENCFF081QVO.bigWig	released
ENCFF284ONY	bigWig	fold change over control	GRCh38	ENCSR155KHM	TF ChIP-seq	K562	ARNT-human	1	https://www.encodeproject.org/files/ENCFF284ONY/@@download/ENCFF284ONY.bigWig	released	s3://encode-public/2021/02/11/333d40a9-ddaa-4dd7-a9be-b6dd23e4ab36/ENCFF284ONY.bigWig	released
ENCFF716SYJ	bigWig	fold change over control	GRCh38	ENCSR155KHM	TF ChIP-seq	K562	ARNT-human	2	https://www.encodeproject.org/files/ENCFF716SYJ/@@download/ENCFF716SYJ.bigWig	released	s3://encode-public/2021/02/11/9148c20a-2ec4-4729-bcf9-3d35be0250b1/ENCFF716SYJ.bigWig	released
ENCFF408YWA	bigWig	fold change over control	GRCh38	ENCSR794LVK	TF ChIP-seq	HepG2	ARNTL-human	1	https://www.encodeproject.org/files/ENCFF408YWA/@@download/ENCFF408YWA.bigWig	released	s3://encode-public/2020/07/01/a559f3b5-2ebd-488e-b634-b6dd15730eca/ENCFF408YWA.bigWig	released
ENCFF694BWR	bigWig	fold change over control	GRCh38	ENCSR794LVK	TF ChIP-seq	HepG2	ARNTL-human	2	https://www.encodeproject.org/files/ENCFF694BWR/@@download/ENCFF694BWR.bigWig	released	s3://encode-public/2020/07/01/30cfa619-f6b3-4ea0-bb08-8a7dde8665b2/ENCFF694BWR.bigWig	released
ENCFF550NSU	bigWig	fold change over control	GRCh38	ENCSR850KIP	TF ChIP-seq	H1	ASH2L-human	2	https://www.encodeproject.org/files/ENCFF550NSU/@@download/ENCFF550NSU.bigWig	released	s3://encode-public/2021/03/19/ab8fa071-95d3-4579-a0a3-8735316ec94a/ENCFF550NSU.bigWig	released
ENCFF938VZR	bigWig	fold change over control	GRCh38	ENCSR541KFY	ATAC-seq	WTC11	ATAC-seq	1	https://www.encodeproject.org/files/ENCFF938VZR/@@download/ENCFF938VZR.bigWig	released	s3://encode-public/2021/06/21/1c949366-2672-45d1-901d-397bc34cf9aa/ENCFF938VZR.bigWig	released
ENCFF456IER	bigWig	fold change over control	GRCh38	ENCSR541KFY	ATAC-seq	WTC11	ATAC-seq	2	https://www.encodeproject.org/files/ENCFF456IER/@@download/ENCFF456IER.bigWig	released	s3://encode-public/2021/06/21/98e10718-3cec-4592-8ac8-88542e24aa8d/ENCFF456IER.bigWig	released
ENCFF674WKB	bigWig	fold change over control	GRCh38	ENCSR956DNB	ATAC-seq	K562	ATAC-seq	1	https://www.encodeproject.org/files/ENCFF674WKB/@@download/ENCFF674WKB.bigWig	released	s3://encode-public/2022/03/02/2f88ecb2-56a0-4813-b71e-d5b0b26a3d0a/ENCFF674WKB.bigWig	released
ENCFF892FEF	bigWig	fold change over control	GRCh38	ENCSR956DNB	ATAC-seq	K562	ATAC-seq	2	https://www.encodeproject.org/files/ENCFF892FEF/@@download/ENCFF892FEF.bigWig	released	s3://encode-public/2022/03/02/4b72f7dd-6f5f-49f9-aa5f-3e6e73e885c9/ENCFF892FEF.bigWig	released
ENCFF622FRD	bigWig	fold change over control	GRCh38	ENCSR291GJU	ATAC-seq	HepG2	ATAC-seq	1	https://www.encodeproject.org/files/ENCFF622FRD/@@download/ENCFF622FRD.bigWig	released	s3://encode-public/2021/03/16/98731d2b-c079-4bb6-b617-9bffeef019ec/ENCFF622FRD.bigWig	released
ENCFF024GLW	bigWig	fold change over control	GRCh38	ENCSR291GJU	ATAC-seq	HepG2	ATAC-seq	2	https://www.encodeproject.org/files/ENCFF024GLW/@@download/ENCFF024GLW.bigWig	released	s3://encode-public/2021/03/16/f6cf30b5-2be2-4cdb-b625-a6ba21bd14a0/ENCFF024GLW.bigWig	released
ENCFF240VVR	bigWig	fold change over control	GRCh38	ENCSR291GJU	ATAC-seq	HepG2	ATAC-seq	3	https://www.encodeproject.org/files/ENCFF240VVR/@@download/ENCFF240VVR.bigWig	released	s3://encode-public/2021/03/16/1ef06183-9f4f-4997-8d9c-79e8f695772a/ENCFF240VVR.bigWig	released
ENCFF019IPA	bigWig	fold change over control	GRCh38	ENCSR868FGK	ATAC-seq	K562	ATAC-seq	2	https://www.encodeproject.org/files/ENCFF019IPA/@@download/ENCFF019IPA.bigWig	released	s3://encode-public/2021/03/16/1b0c21ed-a147-4010-8be3-ab1849b04fbf/ENCFF019IPA.bigWig	released
ENCFF093IIW	bigWig	fold change over control	GRCh38	ENCSR868FGK	ATAC-seq	K562	ATAC-seq	1	https://www.encodeproject.org/files/ENCFF093IIW/@@download/ENCFF093IIW.bigWig	released	s3://encode-public/2021/03/16/0db91f06-ad76-4a74-9052-38b7a0dc2bb3/ENCFF093IIW.bigWig	released
ENCFF656ZKM	bigWig	fold change over control	GRCh38	ENCSR868FGK	ATAC-seq	K562	ATAC-seq	3	https://www.encodeproject.org/files/ENCFF656ZKM/@@download/ENCFF656ZKM.bigWig	released	s3://encode-public/2021/03/16/ed6625ac-4271-427c-bb7b-613e92a91a98/ENCFF656ZKM.bigWig	released
ENCFF451IKJ	bigWig	fold change over control	GRCh38	ENCSR483RKN	ATAC-seq	K562	ATAC-seq	1	https://www.encodeproject.org/files/ENCFF451IKJ/@@download/ENCFF451IKJ.bigWig	released	s3://encode-public/2021/02/24/8a7c45b6-a1a8-40f3-b209-e038313fc913/ENCFF451IKJ.bigWig	released
ENCFF496GRF	bigWig	fold change over control	GRCh38	ENCSR483RKN	ATAC-seq	K562	ATAC-seq	2	https://www.encodeproject.org/files/ENCFF496GRF/@@download/ENCFF496GRF.bigWig	released	s3://encode-public/2021/02/24/b9f2e4b0-d302-4c14-adb3-d659ae21cf42/ENCFF496GRF.bigWig	released
ENCFF782GKX	bigWig	fold change over control	GRCh38	ENCSR042AWH	ATAC-seq	HepG2	ATAC-seq	1	https://www.encodeproject.org/files/ENCFF782GKX/@@download/ENCFF782GKX.bigWig	released	s3://encode-public/2021/02/24/3b34029b-15c5-478d-b05e-3e720a2b2288/ENCFF782GKX.bigWig	released
ENCFF029XKY	bigWig	fold change over control	GRCh38	ENCSR042AWH	ATAC-seq	HepG2	ATAC-seq	2	https://www.encodeproject.org/files/ENCFF029XKY/@@download/ENCFF029XKY.bigWig	released	s3://encode-public/2021/02/24/e0439bd3-42ec-4a32-a9f9-a27496c957f4/ENCFF029XKY.bigWig	released
ENCFF399MEL	bigWig	fold change over control	GRCh38	ENCSR843QIL	TF ChIP-seq	HepG2	ATAD3A-human	1	https://www.encodeproject.org/files/ENCFF399MEL/@@download/ENCFF399MEL.bigWig	released	s3://encode-public/2020/07/02/d7bd3801-77d1-4b92-92d3-f06e9ceb680b/ENCFF399MEL.bigWig	released
ENCFF892VFJ	bigWig	fold change over control	GRCh38	ENCSR843QIL	TF ChIP-seq	HepG2	ATAD3A-human	2	https://www.encodeproject.org/files/ENCFF892VFJ/@@download/ENCFF892VFJ.bigWig	released	s3://encode-public/2020/07/02/ed7d1e2b-dfc0-4480-9969-c6069599f308/ENCFF892VFJ.bigWig	released
ENCFF546MGJ	bigWig	fold change over control	GRCh38	ENCSR000DNZ	TF ChIP-seq	K562	ATF1-human	1	https://www.encodeproject.org/files/ENCFF546MGJ/@@download/ENCFF546MGJ.bigWig	released	s3://encode-public/2020/12/26/2ccc8126-1aad-4347-ad69-5caa094476ba/ENCFF546MGJ.bigWig	released
ENCFF172UZP	bigWig	fold change over control	GRCh38	ENCSR000DNZ	TF ChIP-seq	K562	ATF1-human	2	https://www.encodeproject.org/files/ENCFF172UZP/@@download/ENCFF172UZP.bigWig	released	s3://encode-public/2020/12/26/0ea58b57-29e0-44fa-a893-424c284138e1/ENCFF172UZP.bigWig	released
ENCFF682JLG	bigWig	fold change over control	GRCh38	ENCSR253OON	TF ChIP-seq	HepG2	ATF1-human	2	https://www.encodeproject.org/files/ENCFF682JLG/@@download/ENCFF682JLG.bigWig	released	s3://encode-public/2020/12/01/2008d666-6f14-4235-8ce0-dc8a3e61eae6/ENCFF682JLG.bigWig	released
ENCFF476YSN	bigWig	fold change over control	GRCh38	ENCSR253OON	TF ChIP-seq	HepG2	ATF1-human	1	https://www.encodeproject.org/files/ENCFF476YSN/@@download/ENCFF476YSN.bigWig	released	s3://encode-public/2020/12/01/7ce442ca-5e6d-4651-8361-73f3ab91d353/ENCFF476YSN.bigWig	released
ENCFF884GOV	bigWig	fold change over control	GRCh38	ENCSR091GVJ	TF ChIP-seq	K562	ATF1-human	1	https://www.encodeproject.org/files/ENCFF884GOV/@@download/ENCFF884GOV.bigWig	released	s3://encode-public/2020/11/29/13e897e8-58e2-40ad-ac66-e7c52dae2cbd/ENCFF884GOV.bigWig	released
ENCFF453RDH	bigWig	fold change over control	GRCh38	ENCSR091GVJ	TF ChIP-seq	K562	ATF1-human	2	https://www.encodeproject.org/files/ENCFF453RDH/@@download/ENCFF453RDH.bigWig	released	s3://encode-public/2020/11/29/e0407f6a-96b9-4efb-a7ad-0a661ce26ae2/ENCFF453RDH.bigWig	released
ENCFF516ELG	bigWig	fold change over control	GRCh38	ENCSR085XDP	TF ChIP-seq	K562	ATF1-human	1	https://www.encodeproject.org/files/ENCFF516ELG/@@download/ENCFF516ELG.bigWig	released	s3://encode-public/2022/07/23/3450dbc3-74a7-4aae-ac11-8448cf0738cf/ENCFF516ELG.bigWig	released
ENCFF804KWZ	bigWig	fold change over control	GRCh38	ENCSR085XDP	TF ChIP-seq	K562	ATF1-human	2	https://www.encodeproject.org/files/ENCFF804KWZ/@@download/ENCFF804KWZ.bigWig	released	s3://encode-public/2022/07/23/2507f684-6699-4c62-82b6-b6c7896313e9/ENCFF804KWZ.bigWig	released
ENCFF773PIL	bigWig	fold change over control	GRCh38	ENCSR159OCC	TF ChIP-seq	K562	ATF1-human	1	https://www.encodeproject.org/files/ENCFF773PIL/@@download/ENCFF773PIL.bigWig	released	s3://encode-public/2021/02/04/54ae4388-acf8-4343-af02-b1daa6205e00/ENCFF773PIL.bigWig	released
